Count,DistanceAvg,Distance1,Distance2,Distance3,Distance4,Distance5,latitude,longitude,altitude,sat_count,HDOP,dateTime,startGPSTime,endGPSTime,status
0,1903,1903,1904,1900,1903,1894,43.7632370,-116.1047058,5335,20,0.60,666371089,2021/02/11 15:04:47.500,2021/02/11 15:04:49.300,3
1,1897,2019,1982,1891,1897,1896,43.7632370,-116.1047058,5335,19,0.70,666371097,2021/02/11 15:04:55.900,2021/02/11 15:04:57.600,3
2,2016,2016,2016,2017,1894,2017,43.7632332,-116.1047058,5336,20,0.60,666371105,2021/02/11 15:05:04.100,2021/02/11 15:05:05.800,3
3,1892,1900,1890,1895,1891,1892,43.7632332,-116.1047058,5336,21,0.60,666371122,2021/02/11 15:05:20.700,2021/02/11 15:05:22.300,3
4,903,912,884,910,886,903,43.7631416,-116.1044388,5342,16,0.70,666372369,2021/02/11 15:26:07.400,2021/02/11 15:26:09.100,3
5,733,731,733,733,735,733,43.7630386,-116.1046066,5344,20,0.60,666372416,2021/02/11 15:26:54.800,2021/02/11 15:26:56.600,3
6,677,700,683,677,674,677,43.7629089,-116.1048203,5345,18,0.70,666372452,2021/02/11 15:27:30.300,2021/02/11 15:27:32.200,3
7,4988,4991,4988,4988,4989,4988,43.7624054,-116.1054001,5345,16,0.70,666372583,2021/02/11 15:29:41.200,2021/02/11 15:29:43.100,3
8,637,637,637,637,634,675,43.7621956,-116.1056519,5352,19,0.70,666372627,2021/02/11 15:30:25.500,2021/02/11 15:30:27.400,3
9,733,735,733,734,719,717,43.7621002,-116.1057053,5353,18,0.70,666372653,2021/02/11 15:30:51.400,2021/02/11 15:30:53.300,3
10,636,636,635,636,635,637,43.7617874,-116.1060104,5352,16,0.80,666372748,2021/02/11 15:32:26.700,2021/02/11 15:32:28.600,3
11,4676,703,4676,4676,702,4676,43.7616234,-116.1060257,5355,17,0.70,666372799,2021/02/11 15:33:17.900,2021/02/11 15:33:19.600,3
12,4985,4988,747,749,4985,4986,43.7616234,-116.1060257,5355,16,0.70,666372806,2021/02/11 15:33:25.100,2021/02/11 15:33:26.900,3
