Date,Time,Latitude,Longitude,Elevation,Depth
1/8/2021,1:41:00 PM,43.7396278,-116.1203842,5254,0.81
1/8/2021,1:42:00 PM,43.7396202,-116.1203613,5254,0.56
1/8/2021,1:43:00 PM,43.7396164,-116.1203461,5254,0.58
1/8/2021,1:44:00 PM,43.7396049,-116.1202927,5253,0.56
1/8/2021,1:45:00 PM,43.7396011,-116.1202698,5252,0.84
1/8/2021,1:46:00 PM,43.7395744,-116.1201782,5252,0.67
1/8/2021,1:47:00 PM,43.7395477,-116.1201324,5251,0.80
1/8/2021,1:48:00 PM,43.7395287,-116.1200027,5250,0.93
1/8/2021,1:49:00 PM,43.7395096,-116.1199112,5250,1.04
1/8/2021,1:50:00 PM,43.7394524,-116.1197205,5250,0.85
1/8/2021,1:51:00 PM,43.739357,-116.1194534,5242,0.92
1/8/2021,1:52:00 PM,43.7393456,-116.1194382,5243,1.02
1/8/2021,1:53:00 PM,43.7393188,-116.1193619,5242,0.94
1/8/2021,1:54:00 PM,43.7391319,-116.1188507,5240,0.50
1/8/2021,1:55:00 PM,43.7390976,-116.1184616,5243,0.43
1/8/2021,1:56:00 PM,43.739151,-116.1182251,5243,0.64
1/8/2021,1:57:00 PM,43.7392197,-116.1181107,5242,0.55
1/8/2021,1:58:00 PM,43.7393799,-116.1178665,5245,0.47
1/8/2021,1:59:00 PM,43.7394638,-116.1175919,5250,0.34
1/8/2021,2:00:00 PM,43.7395515,-116.1172867,5251,0.78
1/8/2021,2:01:00 PM,43.7396164,-116.1170578,5253,0.83
1/8/2021,2:02:00 PM,43.739666,-116.1168671,5254,0.57
1/8/2021,2:03:00 PM,43.7397041,-116.116684,5256,0.46
1/8/2021,2:04:00 PM,43.7396812,-116.1162643,5263,0.84
1/8/2021,2:05:00 PM,43.7396393,-116.1159668,5266,0.93
1/8/2021,2:06:00 PM,43.7396393,-116.1157913,5266,0.69
1/8/2021,2:07:00 PM,43.7396431,-116.1155624,5266,0.64
1/8/2021,2:08:00 PM,43.7396355,-116.1152878,5300,0.60
1/8/2021,2:09:00 PM,43.7396088,-116.1149979,5300,0.80
1/8/2021,2:10:00 PM,43.7394753,-116.1147537,5301,0.85
1/8/2021,2:11:00 PM,43.7393265,-116.1145706,5302,0.48
1/8/2021,2:12:00 PM,43.7393723,-116.114151,5303,0.45
1/8/2021,2:13:00 PM,43.7397156,-116.1141281,5305,0.99
1/8/2021,2:14:00 PM,43.7398682,-116.1140976,5306,0.98
1/8/2021,2:15:00 PM,43.739975,-116.1139832,5306,0.91
1/8/2021,2:16:00 PM,43.7400627,-116.1138458,5310,0.89
1/8/2021,2:17:00 PM,43.7401848,-116.113678,5311,0.93
1/8/2021,2:18:00 PM,43.740284,-116.1135406,5313,0.64
1/8/2021,2:19:00 PM,43.7403679,-116.1133728,5314,0.92
1/8/2021,2:22:00 PM,43.740284,-116.112999,5320,0.92
1/8/2021,2:23:00 PM,43.7401848,-116.1128311,5321,0.79
1/8/2021,2:24:00 PM,43.740345,-116.1123123,5325,0.49
1/8/2021,2:25:00 PM,43.740509,-116.1121902,5326,0.72
1/8/2021,2:26:00 PM,43.7406311,-116.11203,5331,0.90
1/8/2021,2:27:00 PM,43.740612,-116.1118851,5332,0.93
1/8/2021,2:28:00 PM,43.7404823,-116.1117096,5333,0.55
1/8/2021,2:29:00 PM,43.7404022,-116.1115036,5334,0.60
1/8/2021,2:30:00 PM,43.7404404,-116.1112442,5335,0.69
